k t J res re2 iterationGibbs time J1 J2 J3
 80 2.064829e+05 -1.184625e-03 1.518682e-05 9.140275e-03 1 1.231536e+00 -2.810520e-03 7.694051e+01 2.075433e-01 
 81 7.743108e+04 -1.184625e-03 2.786045e-05 6.283279e-03 3 3.843361e+00 -2.810513e-03 7.694012e+01 2.075427e-01 
 82 1.161466e+05 -1.184625e-03 1.618717e-05 5.480068e-03 1 2.024331e+00 -2.810494e-03 7.694084e+01 2.075337e-01 
 83 8.710997e+04 -1.184626e-03 1.805636e-05 4.574275e-03 3 2.745513e+00 -2.810493e-03 7.694060e+01 2.075343e-01 
 84 1.306650e+05 -1.184626e-03 1.427928e-05 5.438435e-03 1 2.103711e+00 -2.810477e-03 7.694121e+01 2.075270e-01 
 85 9.799871e+04 -1.184626e-03 1.860271e-05 5.301315e-03 3 2.953257e+00 -2.810475e-03 7.694128e+01 2.075259e-01 
 86 1.469981e+05 -1.184626e-03 2.058895e-05 6.926524e-03 3 2.146380e+00 -2.810459e-03 7.694234e+01 2.075165e-01 
 87 1.102486e+05 -1.184627e-03 2.433493e-05 7.820086e-03 1 2.751811e+00 -2.810459e-03 7.694246e+01 2.075162e-01 
 88 8.268641e+04 -1.184627e-03 2.650393e-05 6.387825e-03 1 2.500174e+00 -2.810434e-03 7.694317e+01 2.075056e-01 
 89 1.240296e+05 -1.184627e-03 1.670142e-05 6.037919e-03 1 1.895509e+00 -2.810441e-03 7.694246e+01 2.075105e-01 
 90 9.302222e+04 -1.184627e-03 2.167061e-05 5.875792e-03 1 2.650439e+00 -2.810420e-03 7.694293e+01 2.075021e-01 
 91 6.976666e+04 -1.184627e-03 1.743929e-05 3.546380e-03 1 2.467047e+00 -2.810426e-03 7.694231e+01 2.075063e-01 
 92 2.093000e+05 -1.184627e-03 8.509074e-06 5.191107e-03 1 1.242212e+00 -2.810414e-03 7.694261e+01 2.075014e-01 
 93 7.848749e+04 -1.184627e-03 1.708292e-05 3.908150e-03 1 3.589095e+00 -2.810408e-03 7.694223e+01 2.075009e-01 
 94 1.177312e+05 -1.184627e-03 9.907339e-06 3.399830e-03 1 2.102134e+00 -2.810396e-03 7.694259e+01 2.074956e-01 
 95 8.829843e+04 -1.184627e-03 1.151348e-05 2.963249e-03 1 2.905072e+00 -2.810395e-03 7.694233e+01 2.074964e-01 
 96 1.324476e+05 -1.184628e-03 8.801153e-06 3.397757e-03 1 1.943096e+00 -2.810385e-03 7.694261e+01 2.074921e-01 
 97 9.933574e+04 -1.184628e-03 1.192754e-05 3.453543e-03 1 2.590197e+00 -2.810384e-03 7.694238e+01 2.074927e-01 
 98 7.450180e+04 -1.184628e-03 1.095391e-05 2.378725e-03 1 2.880697e+00 -2.810373e-03 7.694275e+01 2.074877e-01 
 99 2.235054e+05 -1.184628e-03 6.366174e-06 4.147391e-03 1 1.235582e+00 -2.810374e-03 7.694257e+01 2.074888e-01 
 100 8.381453e+04 -1.184628e-03 1.479413e-05 3.614241e-03 1 3.389079e+00 -2.810358e-03 7.694301e+01 2.074821e-01 
 101 1.257218e+05 -1.184628e-03 9.683237e-06 3.548458e-03 1 1.793767e+00 -2.810362e-03 7.694273e+01 2.074844e-01 
 102 9.429134e+04 -1.184628e-03 1.303809e-05 3.583391e-03 1 2.624203e+00 -2.810350e-03 7.694318e+01 2.074789e-01 
 103 7.071851e+04 -1.184628e-03 1.087110e-05 2.240861e-03 1 2.451563e+00 -2.810354e-03 7.694294e+01 2.074811e-01 
